Method,RA-21 AuPRC,RA-21 FPR95,RO-21 AuPRC,RO-21 FPR95,FS L&F AuPRC,FS L&F FPR95,FS Static AuPRC,FS Static FPR95,Road Anomaly AuPRC,Road Anomaly FPR95
msp,74.25,33.45,90.18,0.53,24.64,15.36,29.9,34.5,75.76,19.36
maxlogit,73.71,33.57,90.14,0.56,24.66,15.1,30.12,34.17,75.13,19.11
maxentropy,76.69,33.33,90.1,0.68,27.48,15.18,28.65,34.42,77.66,18.85
rba,72.82,45.67,88.63,69.37,25.12,11.24,32.6,34.77,75.03,17.3
